Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
500,0.6,0.1,0,380.52823373323577,0.5707199999999999
1000,0.6,0.1,0,380.8352357607581,0.57334
5000,0.6,0.1,0,383.26529177805065,0.5745839999999999
10000,0.6,0.1,0,390.03837974840275,0.5746919999999999
100,0.6,0.1,1,398.5548111421901,0.5817999999999999
500,0.6,0.1,1,395.67391528348986,0.5707199999999999
1000,0.6,0.1,1,395.96853135564953,0.57334
5000,0.6,0.1,1,398.40874382379565,0.5745839999999999
10000,0.6,0.1,1,405.25554536900364,0.5746919999999999
100,0.6,0.1,2,413.9427931134199,0.5817999999999999
500,0.6,0.1,2,410.94009124274214,0.5707199999999999
1000,0.6,0.1,2,411.2167897066218,0.57334
5000,0.6,0.1,2,413.609629108095,0.5745839999999999
10000,0.6,0.1,2,420.36431122379014,0.5746919999999999
100,0.6,0.1,3,429.14796597967984,0.5817999999999999
500,0.6,0.1,3,426.0219993740695,0.5707199999999999
1000,0.6,0.1,3,426.27848980990603,0.57334
5000,0.6,0.1,3,428.6702090307849,0.5745839999999999
10000,0.6,0.1,3,435.50574470021616,0.5746919999999999
100,0.6,0.1,4,444.48966030464993,0.5817999999999999
500,0.6,0.1,4,441.24440951017795,0.5707199999999999
1000,0.6,0.1,4,441.49204002749696,0.57334
5000,0.6,0.1,4,443.89034241848344,0.5745839999999999
10000,0.6,0.1,4,450.7202076953344,0.5746919999999999
100,0.6,0.05,0,459.86606164091995,0.5775999999999999
500,0.6,0.05,0,456.50015700449813,0.5707199999999999
1000,0.6,0.05,0,456.7336907095799,0.57334
5000,0.6,0.05,0,459.11947803556023,0.5745839999999999
10000,0.6,0.05,0,465.93139805378763,0.5746919999999999
100,0.6,0.05,1,475.20316156385013,0.5775999999999999
500,0.6,0.05,1,471.71438720692043,0.5707199999999999
1000,0.6,0.05,1,471.93193868856974,0.57334
5000,0.6,0.05,1,474.3006954679493,0.5745839999999999
10000,0.6,0.05,1,481.12865012472,0.5746919999999999
100,0.6,0.05,2,490.5683915084103,0.5775999999999999
500,0.6,0.05,2,486.95921789342225,0.5707199999999999
1000,0.6,0.05,2,487.16152845396323,0.57334
5000,0.6,0.05,2,489.5212425688141,0.5745839999999999
10000,0.6,0.05,2,496.39456759719866,0.5746919999999999
100,0.6,0.05,3,506.01979800298,0.5775999999999999
500,0.6,0.05,3,502.28786882889165,0.5707199999999999
1000,0.6,0.05,3,502.4764163182494,0.57334
5000,0.6,0.05,3,504.8632773820188,0.5745839999999999
10000,0.6,0.05,3,511.7127084497918,0.5746919999999999
100,0.6,0.05,4,521.4655625409298,0.5775999999999999
500,0.6,0.05,4,517.6120087194121,0.5707199999999999
1000,0.6,0.05,4,517.7852146869193,0.57334
5000,0.6,0.05,4,520.1246337891322,0.5745839999999999
10000,0.6,0.05,4,526.9441408338157,0.5746919999999999
100,0.6,0.01,0,536.8286976709301,0.5855999999999998
500,0.6,0.01,0,532.8526422233439,0.5724399999999998
1000,0.6,0.01,0,533.0111467254999,0.5744799999999998
5000,0.6,0.01,0,535.3361966588188,0.5747359999999999
10000,0.6,0.01,0,542.1032720634499,0.5747679999999998
100,0.6,0.01,1,552.11846482759,0.5855999999999998
500,0.6,0.01,1,548.0208043778421,0.5724399999999998
1000,0.6,0.01,1,548.1630260934139,0.5744799999999998
5000,0.6,0.01,1,550.4751571575963,0.5747359999999999
10000,0.6,0.01,1,557.2768981285237,0.5747679999999998
100,0.6,0.01,2,567.45051259629,0.5855999999999998
500,0.6,0.01,2,563.2313103925837,0.5724399999999998
1000,0.6,0.01,2,563.3556820331168,0.5744799999999998
5000,0.6,0.01,2,565.6499293618033,0.5747359999999999
10000,0.6,0.01,2,572.4491496704376,0.5747679999999998
100,0.6,0.01,3,582.79144090428,0.5855999999999998
500,0.6,0.01,3,578.4506646394142,0.5724399999999998
1000,0.6,0.01,3,578.5609632646407,0.5744799999999998
5000,0.6,0.01,3,580.844305008412,0.5747359999999999
10000,0.6,0.01,3,587.6497384938967,0.5747679999999998
100,0.6,0.01,4,598.13723582345,0.5855999999999998
500,0.6,0.01,4,593.6758283649183,0.5724399999999998
1000,0.6,0.01,4,593.7730695574669,0.5744799999999998
5000,0.6,0.01,4,596.048466362092,0.5747359999999999
10000,0.6,0.01,4,602.8527487112425,0.5747679999999998
100,0.6,0.005,0,613.4878505325996,0.5855999999999998
500,0.6,0.005,0,608.9042251838264,0.5724399999999998
1000,0.6,0.005,0,608.9848143905535,0.5744799999999998
5000,0.6,0.005,0,611.2502030398947,0.5747359999999999
10000,0.6,0.005,0,618.058356926797,0.5747679999999998
100,0.6,0.005,1,628.8490500913199,0.5855999999999998
500,0.6,0.005,1,624.143416602826,0.5724399999999998
1000,0.6,0.005,1,624.2089595080694,0.5744799999999998
5000,0.6,0.005,1,626.4638672918991,0.5747359999999999
10000,0.6,0.005,1,633.2651935891398,0.5747679999999998
100,0.6,0.005,2,644.2009100718,0.5855999999999998
500,0.6,0.005,2,639.3741768666646,0.5724399999999998
1000,0.6,0.005,2,639.4266731529952,0.5744799999999998
5000,0.6,0.005,2,641.6772108932674,0.5747359999999999
10000,0.6,0.005,2,648.566088049749,0.5747679999999998
100,0.6,0.005,3,659.6777649026096,0.5855999999999998
500,0.6,0.005,3,654.7291995799844,0.5724399999999998
1000,0.6,0.005,3,654.7659657139579,0.5744799999999998
5000,0.6,0.005,3,656.9890387752507,0.5747359999999999
10000,0.6,0.005,3,663.7706577625243,0.5747679999999998
100,0.6,0.005,4,674.9737596487702,0.5855999999999998
500,0.6,0.005,4,669.9017376365763,0.5724399999999998
1000,0.6,0.005,4,669.9166088184992,0.5744799999999998
5000,0.6,0.005,4,672.1082519904186,0.5747359999999999
10000,0.6,0.005,4,678.8411063288385,0.5747679999999998
