Episode,Gamma,Alpha,Epsilon,Average time,Average reward
5000,0.7,0.25,0.7,366945.6663402811,0.4919159999999999
8000,0.7,0.25,0.7,366921.62807769066,0.5217875
9000,0.7,0.25,0.7,366921.02042839426,0.5270955555555554
10000,0.7,0.25,0.7,366921.93489888683,0.5313259999999999
100,0.7,0.25,0.75,370556.7395682316,-1.749200000000001
500,0.7,0.25,0.75,367621.98593991884,-0.0851600000000003
1000,0.7,0.25,0.75,367255.6672513716,0.2413799999999998
2000,0.7,0.25,0.75,367073.1643343491,0.4071199999999998
5000,0.7,0.25,0.75,366965.04129429086,0.5017519999999999
8000,0.7,0.25,0.75,366941.0067128425,0.5282024999999999
9000,0.7,0.25,0.75,366940.3915223221,0.5340755555555554
10000,0.7,0.25,0.75,366941.2785460006,0.5379179999999999
100,0.7,0.25,0.8,370576.27670883085,-1.8985999999999998
500,0.7,0.25,0.8,367641.3751250648,-0.26260000000000017
1000,0.7,0.25,0.8,367275.0803276668,0.12511999999999981
2000,0.7,0.25,0.8,367092.65273218375,0.3350199999999998
5000,0.7,0.25,0.8,366984.6741093192,0.4576399999999999
8000,0.7,0.25,0.8,366960.84514869226,0.49528749999999977
9000,0.7,0.25,0.8,366960.4692279765,0.5016755555555553
10000,0.7,0.25,0.8,366962.27641042235,0.5081639999999997
100,0.7,0.25,0.85,370597.7987157614,-2.0672
500,0.7,0.25,0.85,367662.7483273288,-0.1559600000000001
1000,0.7,0.25,0.85,367296.4419182091,0.19751999999999983
2000,0.7,0.25,0.85,367113.9576668863,0.3785599999999999
5000,0.7,0.25,0.85,367005.9167660166,0.4939239999999998
8000,0.7,0.25,0.85,366981.95704085304,0.5229999999999999
9000,0.7,0.25,0.85,366981.3890049546,0.5274933333333331
10000,0.7,0.25,0.85,366982.35095171287,0.530588
100,0.7,0.25,0.9,370617.790626413,-2.0555999999999996
500,0.7,0.25,0.9,367682.56747516996,-0.2398000000000002
1000,0.7,0.25,0.9,367316.22407222784,0.1388999999999998
2000,0.7,0.25,0.9,367133.78879682074,0.33653999999999984
5000,0.7,0.25,0.9,367025.800183537,0.4631039999999999
8000,0.7,0.25,0.9,367002.04327540915,0.4942199999999998
9000,0.7,0.25,0.9,367001.8406872464,0.5001333333333332
10000,0.7,0.25,0.9,367003.1311116254,0.5056159999999998
100,0.7,0.25,0.95,370639.093054243,-1.7619999999999996
500,0.7,0.25,0.95,367703.77495799924,-0.13312000000000002
1000,0.7,0.25,0.95,367337.5898729241,0.21125999999999986
2000,0.7,0.25,0.95,367155.5769719021,0.39072999999999986
5000,0.7,0.25,0.95,367047.93364017614,0.49553999999999987
8000,0.7,0.25,0.95,367024.1633391928,0.5248349999999998
9000,0.7,0.25,0.95,367023.81101590773,0.5302666666666666
10000,0.7,0.25,0.95,367025.18885850726,0.5351139999999999
100,0.7,0.25,1.0,370661.2166122451,-1.9474000000000005
500,0.7,0.25,1.0,367725.63324378204,-0.1868800000000002
1000,0.7,0.25,1.0,367359.21817584074,0.1928799999999998
2000,0.7,0.25,1.0,367176.66493489326,0.38467999999999986
5000,0.7,0.25,1.0,367068.5041782848,0.50108
8000,0.7,0.25,1.0,367044.4011312465,0.5267374999999999
9000,0.7,0.25,1.0,367043.73527508246,0.5318044444444443
10000,0.7,0.25,1.0,367044.5943553877,0.5369619999999999
100,0.7,0.3,0.7,370680.57820122846,-1.7002000000000006
500,0.7,0.3,0.7,367744.83163961984,-0.20768000000000034
1000,0.7,0.3,0.7,367378.4322296624,0.16181999999999971
2000,0.7,0.3,0.7,367195.93350291083,0.3528499999999998
5000,0.7,0.3,0.7,367087.88417758007,0.4778199999999999
8000,0.7,0.3,0.7,367063.9716713503,0.5134324999999998
9000,0.7,0.3,0.7,367063.6623516631,0.5200399999999998
10000,0.7,0.3,0.7,367064.69822000293,0.5256279999999999
100,0.7,0.3,0.75,370700.9163422517,-1.5082000000000002
500,0.7,0.3,0.75,367764.98797334405,-4.000000000024784e-05
1000,0.7,0.3,0.75,367398.5013193893,0.28053999999999985
2000,0.7,0.3,0.75,367215.9044787913,0.41969999999999985
5000,0.7,0.3,0.75,367107.7394828781,0.5041919999999999
8000,0.7,0.3,0.75,367083.70168226084,0.5265849999999999
9000,0.7,0.3,0.75,367083.12594270107,0.529902222222222
10000,0.7,0.3,0.75,367084.1010350982,0.5339419999999998
100,0.7,0.3,0.8,370720.5510227202,-1.8300000000000005
500,0.7,0.3,0.8,367784.4780934313,-0.08960000000000014
1000,0.7,0.3,0.8,367417.98021913064,0.2348799999999999
2000,0.7,0.3,0.8,367235.38556151156,0.4019899999999999
5000,0.7,0.3,0.8,367127.2029002384,0.5059719999999999
8000,0.7,0.3,0.8,367103.1089790461,0.5287999999999998
9000,0.7,0.3,0.8,367102.48341095005,0.5331822222222221
10000,0.7,0.3,0.8,367103.40703208867,0.5359959999999999
100,0.7,0.3,0.85,370740.18490890466,-1.5658000000000003
500,0.7,0.3,0.85,367804.04071872163,-0.14964000000000016
1000,0.7,0.3,0.85,367437.553578388,0.20793999999999982
2000,0.7,0.3,0.85,367255.09359820833,0.38967999999999986
5000,0.7,0.3,0.85,367146.9701310965,0.4968839999999998
8000,0.7,0.3,0.85,367122.92179237475,0.5251649999999999
9000,0.7,0.3,0.85,367122.27979999164,0.5309444444444443
10000,0.7,0.3,0.85,367123.1645959744,0.5345719999999998
100,0.7,0.3,0.9,370759.96493844717,-1.7596000000000003
500,0.7,0.3,0.9,367823.5804431023,-0.09356000000000023
1000,0.7,0.3,0.9,367457.0538709357,0.2230199999999998
2000,0.7,0.3,0.9,367274.4696785814,0.3839899999999998
5000,0.7,0.3,0.9,367166.34981378145,0.4922319999999999
8000,0.7,0.3,0.9,367142.3459094442,0.5169749999999997
9000,0.7,0.3,0.9,367141.8164576146,0.522651111111111
10000,0.7,0.3,0.9,367142.8236323321,0.5267859999999999
100,0.7,0.3,0.95,370779.8686095673,-1.822
500,0.7,0.3,0.95,367843.3197766586,-0.12520000000000023
1000,0.7,0.3,0.95,367476.7590169881,0.2189199999999998
2000,0.7,0.3,0.95,367294.12726499705,0.39765999999999985
5000,0.7,0.3,0.95,367185.90911070217,0.5001599999999998
8000,0.7,0.3,0.95,367161.8201763284,0.5248574999999999
9000,0.7,0.3,0.95,367161.2659437684,0.5307733333333332
10000,0.7,0.3,0.95,367162.2402030906,0.5357619999999998
100,0.7,0.3,1.0,370799.45811029966,-1.739600000000001
500,0.7,0.3,1.0,367862.74259077956,-0.0719200000000003
1000,0.7,0.3,1.0,367496.1909080046,0.24757999999999977
2000,0.7,0.3,1.0,367313.7737440675,0.39736999999999983
5000,0.7,0.3,1.0,367205.9641646776,0.5012079999999998
8000,0.7,0.3,1.0,367183.0180763132,0.5307824999999998
9000,0.7,0.3,1.0,367182.65677662595,0.5355822222222221
10000,0.7,0.3,1.0,367183.5932886911,0.5385019999999998
100,0.7,0.35,0.7,370821.02662291506,-1.5970000000000004
500,0.7,0.35,0.7,367884.1503198493,-0.011640000000000214
1000,0.7,0.35,0.7,367517.5463530353,0.2840999999999999
2000,0.7,0.35,0.7,367334.87555522524,0.4266499999999999
5000,0.7,0.35,0.7,367226.62141056545,0.5178759999999999
8000,0.7,0.35,0.7,367202.46875691146,0.5377799999999998
9000,0.7,0.35,0.7,367201.7902861877,0.5397022222222221
10000,0.7,0.35,0.7,367202.69077337475,0.5413059999999998
100,0.7,0.35,0.75,370840.31778947724,-1.4604000000000006
500,0.7,0.35,0.75,367903.28064934624,0.030279999999999745
1000,0.7,0.35,0.75,367536.64571886463,0.2901799999999998
2000,0.7,0.35,0.75,367353.9938017112,0.4205199999999999
5000,0.7,0.35,0.75,367245.8100012113,0.5058799999999999
8000,0.7,0.35,0.75,367221.7645387529,0.5301774999999999
9000,0.7,0.35,0.75,367221.17884879553,0.5339177777777777
10000,0.7,0.35,0.75,367222.21770003997,0.5360759999999999
100,0.7,0.35,0.8,370860.1669687978,-1.7200000000000006
500,0.7,0.35,0.8,367922.98065993487,-0.008800000000000238
1000,0.7,0.35,0.8,367556.3406695584,0.27355999999999986
2000,0.7,0.35,0.8,367373.69790726196,0.42107999999999984
5000,0.7,0.35,0.8,367265.51550260215,0.5072119999999999
8000,0.7,0.35,0.8,367241.7854060763,0.5291574999999998
9000,0.7,0.35,0.8,367242.66464230965,0.5331599999999999
10000,0.7,0.35,0.8,367243.7271027256,0.5366579999999999
100,0.7,0.35,0.85,370881.7685432864,-1.4802000000000008
500,0.7,0.35,0.85,367944.4054650547,-0.07172000000000031
1000,0.7,0.35,0.85,367577.7434732062,0.22193999999999978
2000,0.7,0.35,0.85,367395.10330761725,0.38936999999999977
5000,0.7,0.35,0.85,367286.9384935166,0.4952079999999998
8000,0.7,0.35,0.85,367262.9148574014,0.5216249999999998
9000,0.7,0.35,0.85,367262.373983848,0.525302222222222
10000,0.7,0.35,0.85,367263.3641289904,0.5278719999999999
100,0.7,0.35,0.9,370901.598097317,-1.7520000000000007
500,0.7,0.35,0.9,367964.07871236705,-0.18316000000000027
1000,0.7,0.35,0.9,367597.4336851272,0.1634199999999998
2000,0.7,0.35,0.9,367414.8200530018,0.3528399999999998
5000,0.7,0.35,0.9,367306.7332821932,0.46356399999999987
8000,0.7,0.35,0.9,367282.87533832307,0.5003349999999999
9000,0.7,0.35,0.9,367282.4617793631,0.5090155555555554
10000,0.7,0.35,0.9,367283.5585596043,0.5159819999999998
100,0.7,0.35,0.95,370921.9715431436,-1.7683999999999997
500,0.7,0.35,0.95,367984.3317966068,-0.06412000000000012
1000,0.7,0.35,0.95,367617.78699132556,0.25365999999999983
2000,0.7,0.35,0.95,367435.11646662006,0.41265999999999986
5000,0.7,0.35,0.95,367326.86907353444,0.51038
8000,0.7,0.35,0.95,367302.7317113975,0.5358299999999999
9000,0.7,0.35,0.95,367302.0601624177,0.539602222222222
10000,0.7,0.35,0.95,367302.9597880049,0.5425759999999998
100,0.7,0.35,1.0,370941.63126561465,-1.7640000000000007
500,0.7,0.35,1.0,368003.84799663903,-0.10980000000000036
1000,0.7,0.35,1.0,367637.21402243426,0.22163999999999975
2000,0.7,0.35,1.0,367454.55556229886,0.3903599999999998
5000,0.7,0.35,1.0,367346.34494181676,0.5008879999999998
8000,0.7,0.35,1.0,367322.2677654386,0.5262074999999998
9000,0.7,0.35,1.0,367321.6567777399,0.5304288888888887
10000,0.7,0.35,1.0,367322.69592569687,0.5341559999999999
100,0.75,0.1,0.7,370961.5930088921,-2.2546
500,0.75,0.1,0.7,368023.7622422403,-0.5784800000000002
1000,0.75,0.1,0.7,367657.2850592648,-0.013760000000000275
2000,0.75,0.1,0.7,367474.8164442362,0.2798399999999998
5000,0.75,0.1,0.7,367366.87013001606,0.4529399999999998
8000,0.75,0.1,0.7,367343.111325023,0.49603999999999987
9000,0.75,0.1,0.7,367342.8795435898,0.5036044444444443
10000,0.75,0.1,0.7,367344.07350538846,0.5102759999999998
100,0.75,0.1,0.75,370983.0933238854,-2.2025999999999994
500,0.75,0.1,0.75,368045.0971832005,-0.5568400000000001
1000,0.75,0.1,0.75,367678.5721639711,0.0075799999999998134
2000,0.75,0.1,0.75,367496.0605724028,0.2927299999999998
5000,0.75,0.1,0.75,367387.9800718524,0.46397999999999984
8000,0.75,0.1,0.75,367364.0220884,0.5067349999999998
9000,0.75,0.1,0.75,367363.493690082,0.5151266666666665
10000,0.75,0.1,0.75,367364.4834557777,0.5211519999999998
100,0.75,0.1,0.8,371003.63592069835,-2.1470000000000002
500,0.75,0.1,0.8,368065.4645183631,-0.6796000000000003
1000,0.75,0.1,0.8,367699.016689126,-0.16062000000000032
2000,0.75,0.1,0.8,367516.755283582,0.14688999999999972
5000,0.75,0.1,0.8,367409.1055584508,0.3760759999999998
8000,0.75,0.1,0.8,367385.818658611,0.3720349999999997
9000,0.75,0.1,0.8,367386.617749777,0.37190666666666644
10000,0.75,0.1,0.8,367389.44953331095,0.3731679999999998
100,0.75,0.1,0.85,371029.8251261075,-2.3755999999999986
500,0.75,0.1,0.85,368091.47679277,-0.6437999999999998
1000,0.75,0.1,0.85,367724.93930631835,-0.0445
2000,0.75,0.1,0.85,367542.4395067074,0.26524
5000,0.75,0.1,0.85,367434.3990634016,0.44745199999999996
8000,0.75,0.1,0.85,367410.5208706691,0.4940349999999999
9000,0.75,0.1,0.85,367410.07650334825,0.5026511111111109
10000,0.75,0.1,0.85,367411.178295903,0.5098079999999999
100,0.75,0.1,0.9,371050.8389832157,-2.1067999999999993
500,0.75,0.1,0.9,368112.2930779347,-0.6363199999999999
1000,0.75,0.1,0.9,367745.7268182301,-0.036260000000000105
2000,0.75,0.1,0.9,367563.2039960192,0.2710599999999999
5000,0.75,0.1,0.9,367455.19633670367,0.4544359999999999
8000,0.75,0.1,0.9,367431.42682545254,0.5004099999999998
9000,0.75,0.1,0.9,367430.9318461327,0.509171111111111
10000,0.75,0.1,0.9,367431.9424568614,0.5163999999999999
100,0.75,0.1,0.95,371071.78132504603,-2.0812
500,0.75,0.1,0.95,368133.2602534434,-0.6550800000000001
1000,0.75,0.1,0.95,367766.75619553926,-0.05042000000000024
2000,0.75,0.1,0.95,367584.2475138633,0.25739999999999974
5000,0.75,0.1,0.95,367476.31376688846,0.4401239999999999
8000,0.75,0.1,0.95,367452.55480653216,0.4854574999999998
9000,0.75,0.1,0.95,367452.26263132115,0.49445555555555537
10000,0.75,0.1,0.95,367453.423449965,0.5017339999999998
100,0.75,0.1,1.0,371093.54685799475,-2.0512
500,0.75,0.1,1.0,368154.66992504004,-0.73204
1000,0.75,0.1,1.0,367788.1419736991,-0.17820000000000016
2000,0.75,0.1,1.0,367605.81635885633,0.1485399999999998
5000,0.75,0.1,1.0,367498.106853015,0.3763399999999999
8000,0.75,0.1,1.0,367474.6794560449,0.43447749999999985
9000,0.75,0.1,1.0,367474.7861480291,0.44506444444444426
10000,0.75,0.1,1.0,367476.466641487,0.4534219999999998
100,0.75,0.15,0.7,371117.00320931,-2.1102000000000007
500,0.75,0.15,0.7,368177.8905390081,-0.3205200000000004
1000,0.75,0.15,0.7,367811.1196062051,0.12667999999999965
2000,0.75,0.15,0.7,367628.42687837593,0.3514599999999997
5000,0.75,0.15,0.7,367520.2151530713,0.4818439999999999
8000,0.75,0.15,0.7,367496.4480502909,0.5167199999999998
9000,0.75,0.15,0.7,367496.0191790756,0.5233622222222221
10000,0.75,0.15,0.7,367497.10942256014,0.5283939999999999
100,0.75,0.15,0.75,371137.6776285649,-2.1206000000000005
500,0.75,0.15,0.75,368198.4043688088,-0.36280000000000034
1000,0.75,0.15,0.75,367831.6456350484,0.09339999999999972
2000,0.75,0.15,0.75,367649.33939671086,0.3257399999999998
5000,0.75,0.15,0.75,367541.80491721956,0.4658199999999999
8000,0.75,0.15,0.75,367518.2001005751,0.4980799999999998
9000,0.75,0.15,0.75,367518.08505436854,0.5049288888888888
10000,0.75,0.15,0.75,367519.45373821876,0.5103599999999998
100,0.75,0.15,0.8,371160.589662838,-2.0578000000000007
500,0.75,0.15,0.8,368221.11153565394,-0.3649200000000002
1000,0.75,0.15,0.8,367854.3079073623,0.08485999999999978
2000,0.75,0.15,0.8,367671.63910968625,0.31216999999999984
5000,0.75,0.15,0.8,367563.5149282292,0.45837999999999984
8000,0.75,0.15,0.8,367539.635342717,0.4950249999999999
9000,0.75,0.15,0.8,367539.2372025525,0.5016399999999999
10000,0.75,0.15,0.8,367540.38695059373,0.5076579999999998
100,0.75,0.15,0.85,371181.45198844845,-2.2447999999999997
500,0.75,0.15,0.85,368241.84745226963,-0.47752000000000033
1000,0.75,0.15,0.85,367875.09303372964,0.022259999999999707
2000,0.75,0.15,0.85,367692.5156364433,0.28162999999999977
5000,0.75,0.15,0.85,367584.48651608045,0.4329839999999998
8000,0.75,0.15,0.85,367560.7554044197,0.4705349999999998
9000,0.75,0.15,0.85,367560.5974213785,0.47592222222222214
10000,0.75,0.15,0.85,367562.0319082614,0.48007199999999983
100,0.75,0.15,0.9,371203.42772141437,-1.9769999999999999
500,0.75,0.15,0.9,368263.62082438933,-0.30248000000000025
1000,0.75,0.15,0.9,367896.754337711,0.12255999999999984
2000,0.75,0.15,0.9,367714.0302987628,0.3357399999999998
5000,0.75,0.15,0.9,367605.8425487031,0.4740119999999998
8000,0.75,0.15,0.9,367581.9434892966,0.5067024999999997
9000,0.75,0.15,0.9,367581.4847297159,0.5120488888888888
10000,0.75,0.15,0.9,367582.5246785569,0.5168039999999998
100,0.75,0.15,0.95,371223.9202447299,-2.03
