Episode,Gamma,Episode Length,Average time,Average reward
35000,0.65,60,702485.4300984747,-0.1328314285714288
40000,0.65,60,702507.9276082932,-0.11336400000000021
45000,0.65,60,702534.1741135026,-0.10285111111111132
50000,0.65,60,702563.76059921,-0.0851296000000002
1000,0.65,70,703267.9279293163,-0.41152000000000033
5000,0.65,70,702708.1155193357,-0.05112800000000021
10000,0.65,70,702642.7911266389,-0.0006000000000001904
15000,0.65,70,702627.1808296982,0.016479999999999818
20000,0.65,70,702626.312878456,0.02481999999999982
25000,0.65,70,702632.9330004561,0.03542239999999982
30000,0.65,70,702644.6554299683,0.040523999999999824
35000,0.65,70,702660.6763704444,0.04286685714285697
40000,0.65,70,702680.485694065,0.04740299999999983
45000,0.65,70,702703.8443250932,0.048324888888888716
50000,0.65,70,702730.335035279,0.05048559999999983
1000,0.65,80,703433.9642952635,-0.3259200000000004
5000,0.65,80,702874.2712662678,-0.12398000000000027
10000,0.65,80,702809.532842914,-0.03879200000000022
15000,0.65,80,702794.5971562912,0.0006679999999997942
20000,0.65,80,702794.0999911692,0.012902999999999804
25000,0.65,80,702801.1409094372,0.023543999999999805
30000,0.65,80,702813.644111588,0.03349999999999981
35000,0.65,80,702830.4210962402,0.04383485714285695
40000,0.65,80,702850.8536914753,0.050624499999999815
45000,0.65,80,702874.6079721043,0.056909333333333166
50000,0.65,80,702901.81764782,0.07801719999999983
1000,0.65,90,703605.0072135619,-0.6091600000000003
5000,0.65,90,703046.002851145,-0.3899600000000004
10000,0.65,90,702982.798824844,-0.1624520000000003
15000,0.65,90,702969.1451266335,-0.06427466666666691
20000,0.65,90,702969.8972447333,-0.016446000000000224
25000,0.65,90,702978.1975958605,0.012308799999999797
30000,0.65,90,702991.5861422162,0.032857333333333134
35000,0.65,90,703008.9268655997,0.04833314285714267
40000,0.65,90,703030.1582980058,0.059116999999999816
45000,0.65,90,703055.3059704638,0.06651111111111092
50000,0.65,90,703083.2795758031,0.07386919999999982
1000,0.65,100,703787.3422640039,-0.9566800000000006
5000,0.65,100,703229.1573318186,-0.7879920000000007
10000,0.65,100,703169.1378796139,-0.7319260000000005
15000,0.65,100,703162.7226342981,-0.6232346666666672
20000,0.65,100,703172.9045447387,-0.4847570000000005
25000,0.65,100,703191.4229141793,-0.39290640000000043
30000,0.65,100,703215.3807985602,-0.3313193333333337
35000,0.65,100,703244.2034503252,-0.2773874285714289
40000,0.65,100,703277.0214024673,-0.23033950000000036
45000,0.65,100,703313.7011242046,-0.18798622222222258
50000,0.65,100,703353.4710277396,-0.15331760000000036
1000,0.7,10,704060.5066438627,-0.053759999999999974
5000,0.7,10,703498.4778356367,-0.03297999999999998
10000,0.7,10,703429.7515413812,-0.024229999999999977
15000,0.7,10,703408.970847503,-0.015357333333333311
20000,0.7,10,703400.9980230713,-0.011748999999999978
25000,0.7,10,703398.797468808,-0.009517599999999977
30000,0.7,10,703400.066415995,-0.006149333333333311
35000,0.7,10,703403.8004664683,-0.005827428571428549
40000,0.7,10,703409.4129014245,-0.005892999999999979
45000,0.7,10,703416.5335071081,-0.005182222222222201
50000,0.7,10,703425.1714264611,-0.004959999999999978
1000,0.7,20,704120.1249007456,-0.12378000000000003
5000,0.7,20,703558.4750412983,-0.01636000000000004
10000,0.7,20,703490.7349546618,0.005593999999999965
15000,0.7,20,703471.5675142603,0.01755866666666663
20000,0.7,20,703465.7447025891,0.025707999999999964
25000,0.7,20,703466.1392160205,0.03353519999999996
30000,0.7,20,703470.4729362251,0.03609866666666663
35000,0.7,20,703477.7701633979,0.038311999999999964
40000,0.7,20,703487.6853731538,0.04147899999999997
45000,0.7,20,703499.7834279704,0.04477688888888885
50000,0.7,20,703514.0288306844,0.04536599999999997
1000,0.7,30,704212.2006127698,-0.07968000000000007
5000,0.7,30,703650.696890981,-0.006140000000000072
10000,0.7,30,703583.4628146244,0.03743999999999993
15000,0.7,30,703565.0921426445,0.0551986666666666
20000,0.7,30,703560.4193358008,0.06291599999999993
25000,0.7,30,703562.5240079997,0.08667119999999992
30000,0.7,30,703568.8873885579,0.1002626666666666
35000,0.7,30,703578.5600635422,0.11433542857142849
40000,0.7,30,703590.8453604195,0.12266899999999992
45000,0.7,30,703605.42691202,0.13199199999999991
50000,0.7,30,703622.0778509355,0.13848199999999994
1000,0.7,40,704321.2646536296,-0.4093200000000002
5000,0.7,40,703760.2766732156,-0.20261200000000013
10000,0.7,40,703694.2400741106,-0.12484400000000014
15000,0.7,40,703677.5547968275,-0.05647066666666679
20000,0.7,40,703674.9209095519,-0.01897800000000012
25000,0.7,40,703679.3949096878,0.0038519999999998863
