Episode,Gamma,Average time,Average reward
5000,0.8500000000000001,688333.9205934139,0.5811599999999999
10000,0.8500000000000001,688296.4655514575,0.5828919999999999
100,0.8600000000000001,695131.5885119301,0.4121999999999998
500,0.8600000000000001,689626.9106074236,0.5469199999999999
1000,0.8600000000000001,688941.8913526413,0.5654799999999998
2000,0.8600000000000001,688604.1642094968,0.5745799999999999
5000,0.8600000000000001,688412.2409484468,0.5811599999999999
10000,0.8600000000000001,688375.6089834141,0.5828919999999999
100,0.8700000000000001,695211.7186583828,0.4121999999999998
500,0.8700000000000001,689706.3800831317,0.5469199999999999
1000,0.8700000000000001,689021.1951253731,0.5654799999999998
2000,0.8700000000000001,688683.3098899425,0.5745799999999999
5000,0.8700000000000001,688491.5119806385,0.5811599999999999
10000,0.8700000000000001,688453.9601488424,0.5828919999999999
100,0.8800000000000001,695290.1202934821,0.4121999999999998
500,0.8800000000000001,689784.1640745092,0.5469199999999999
1000,0.8800000000000001,689098.8926600298,0.5654799999999998
2000,0.8800000000000001,688760.9152650204,0.5745799999999999
5000,0.8800000000000001,688568.8504158336,0.5811599999999999
10000,0.8800000000000001,688531.3965827053,0.5828919999999999
100,0.8900000000000001,695368.6620047066,0.4121999999999998
500,0.8900000000000001,689862.0905739215,0.5469199999999999
1000,0.8900000000000001,689176.8234951058,0.5654799999999998
2000,0.8900000000000001,688838.9623704769,0.5745799999999999
5000,0.8900000000000001,688647.0807640107,0.5811599999999999
10000,0.8900000000000001,688609.7664442146,0.5828919999999999
100,0.9000000000000001,695448.0477119519,0.4121999999999998
500,0.9000000000000001,689941.0171513386,0.5469199999999999
1000,0.9000000000000001,689255.6465289486,0.5654799999999998
2000,0.9000000000000001,688917.7367446308,0.5745799999999999
5000,0.9000000000000001,688725.8042530061,0.5811599999999999
10000,0.9000000000000001,688688.9188650739,0.5828919999999999
100,0.9100000000000001,695527.2711703209,0.4121999999999998
500,0.9100000000000001,690019.3429650638,0.5469199999999999
1000,0.9100000000000001,689333.5614554223,0.5654799999999998
2000,0.9100000000000001,688994.8679940942,0.5745799999999999
5000,0.9100000000000001,688801.2532519493,0.5811599999999999
10000,0.9100000000000001,688760.2263318271,0.5828919999999999
100,0.9200000000000002,695597.4026250839,0.4121999999999998
500,0.9200000000000002,690088.8829011979,0.5469199999999999
1000,0.9200000000000002,689403.0436473133,0.5654799999999998
2000,0.9200000000000002,689064.3886372962,0.5745799999999999
5000,0.9200000000000002,688870.8974309786,0.5811599999999999
10000,0.9200000000000002,688829.754139579,0.5828919999999999
100,0.9300000000000002,695667.4019474218,0.4121999999999998
500,0.9300000000000002,690158.3235373803,0.5469199999999999
1000,0.9300000000000002,689472.355635792,0.5654799999999998
2000,0.9300000000000002,689133.5626760148,0.5745799999999999
5000,0.9300000000000002,688939.9654749533,0.5811599999999999
10000,0.9300000000000002,688899.1276904523,0.5828919999999999
100,0.9400000000000002,695737.6258904068,0.4121999999999998
500,0.9400000000000002,690228.0268205468,0.5469199999999999
1000,0.9400000000000002,689542.0022955369,0.5654799999999998
2000,0.9400000000000002,689203.2298902045,0.5745799999999999
5000,0.9400000000000002,689009.7382942602,0.5811599999999999
10000,0.9400000000000002,688968.8919857062,0.5828919999999999
100,0.9500000000000002,695808.0698238041,0.4121999999999998
500,0.9500000000000002,690297.8875313903,0.5469199999999999
1000,0.9500000000000002,689611.8012205071,0.5654799999999998
2000,0.9500000000000002,689272.887276979,0.5745799999999999
5000,0.9500000000000002,689079.1427714755,0.5811599999999999
10000,0.9500000000000002,689038.1854832871,0.5828919999999999
100,0.9600000000000002,695878.14530573,0.4121999999999998
500,0.9600000000000002,690367.4003833099,0.5469199999999999
1000,0.9600000000000002,689681.2567716608,0.5654799999999998
2000,0.9600000000000002,689342.4312957018,0.5745799999999999
5000,0.9600000000000002,689148.7741801395,0.5811599999999999
10000,0.9600000000000002,689107.7376014341,0.5828919999999999
100,0.9700000000000002,695948.3034532042,0.4121999999999998
500,0.9700000000000002,690437.0180913764,0.5469199999999999
1000,0.9700000000000002,689750.8749789626,0.5654799999999998
2000,0.9700000000000002,689412.0892723047,0.5745799999999999
5000,0.9700000000000002,689218.3725383019,0.5811599999999999
10000,0.9700000000000002,689177.2414943237,0.5828919999999999
100,0.9800000000000002,696018.4146613567,0.4121999999999998
500,0.9800000000000002,690506.553952541,0.5469199999999999
1000,0.9800000000000002,689820.2312345118,0.5654799999999998
2000,0.9800000000000002,689481.2982350169,0.5745799999999999
5000,0.9800000000000002,689287.5535509966,0.5811599999999999
10000,0.9800000000000002,689246.3596365975,0.5828919999999999
100,0.9900000000000002,696088.1197793357,0.4121999999999998
500,0.9900000000000002,690575.7105737162,0.5469199999999999
1000,0.9900000000000002,689889.3950724045,0.5654799999999998
2000,0.9900000000000002,689550.46715551,0.5745799999999999
5000,0.9900000000000002,689368.9804297955,0.5811599999999999
10000,0.9900000000000002,689391.3433690025,0.5828919999999999
