Episode,Gamma,Alpha,Epsilon,Average time,Average reward
2000,0.7,0.35,0.75,373685.2352234118,0.32089999999999985
5000,0.7,0.35,0.75,373575.6496800385,0.30956000000000067
8000,0.7,0.35,0.75,373552.7817083536,0.39734000000000036
9000,0.7,0.35,0.75,373553.66895586386,0.41320222222222247
10000,0.7,0.35,0.75,373556.20720226003,0.42551800000000023
100,0.7,0.35,0.8,377257.4358221617,-1.7456
500,0.7,0.35,0.8,374269.6317522722,-0.2572800000000003
1000,0.7,0.35,0.8,373896.7624555178,0.13983999999999977
2000,0.7,0.35,0.8,373711.111264114,0.3603899999999999
5000,0.7,0.35,0.8,373601.43549599475,0.4811039999999998
8000,0.7,0.35,0.8,373577.42135071184,0.5031299999999999
9000,0.7,0.35,0.8,373577.2473064247,0.5081955555555553
10000,0.7,0.35,0.8,373578.72589258663,0.5115299999999997
100,0.7,0.35,0.85,377279.78500651836,-1.9378000000000009
500,0.7,0.35,0.85,374291.8113475168,-0.3182000000000003
1000,0.7,0.35,0.85,373918.94523157796,0.09997999999999974
2000,0.7,0.35,0.85,373733.3010017341,0.3072399999999998
5000,0.7,0.35,0.85,373623.66332859814,0.4475919999999998
8000,0.7,0.35,0.85,373600.1317377541,0.49355499999999985
9000,0.7,0.35,0.85,373600.1142169131,0.5005844444444443
10000,0.7,0.35,0.85,373601.90961594,0.5067059999999999
100,0.7,0.35,0.9,377303.1921798055,-1.9402000000000001
500,0.7,0.35,0.9,374315.111470842,-0.34852000000000033
1000,0.7,0.35,0.9,373942.3326957873,0.10023999999999979
2000,0.7,0.35,0.9,373756.7190960414,0.3448299999999998
5000,0.7,0.35,0.9,373646.81012697186,0.47683999999999976
8000,0.7,0.35,0.9,373622.6081107414,0.5126474999999998
9000,0.7,0.35,0.9,373622.45492310787,0.5198444444444443
10000,0.7,0.35,0.9,373624.13496504136,0.5260619999999999
100,0.7,0.35,0.95,377325.8718328755,-1.9798
500,0.7,0.35,0.95,374337.54063265334,-0.24160000000000018
1000,0.7,0.35,0.95,373964.6019653084,0.1172399999999998
